MONDO,EFO
MONDO_0006677,EFO_1000838
MONDO_0006678,EFO_1000839
MONDO_0006026,EFO_1000018
MONDO_0004960,EFO_0000203
MONDO_0006676,EFO_1000837
MONDO_0006873,EFO_1001067
MONDO_0006373,EFO_1000478
MONDO_0005065,EFO_0000588
MONDO_0006671,EFO_1000832
MONDO_0006672,EFO_1000833
MONDO_0005039,EFO_0000512
MONDO_0006680,EFO_1000841
MONDO_0006681,EFO_1000842
MONDO_0006679,EFO_1000840
MONDO_0006686,EFO_1000847
MONDO_0005394,EFO_0004277
MONDO_0006684,EFO_1000845
MONDO_0005560,EFO_0005774
MONDO_0006682,EFO_1000843
MONDO_0006683,EFO_1000844
MONDO_0005071,EFO_0000618
MONDO_0006690,EFO_1000853
MONDO_0005269,EFO_0003781
MONDO_0006687,EFO_1000850
MONDO_0006688,EFO_1000851
MONDO_0006693,EFO_1000859
MONDO_0011057,EFO_0003763
MONDO_0006692,EFO_1000857
MONDO_0021697,EFO_1000863
MONDO_0006698,EFO_1000864
MONDO_0005281,EFO_0003832
MONDO_0006696,EFO_1000862
MONDO_0005089,EFO_0000691
MONDO_0006694,EFO_1000860
MONDO_0005311,EFO_0003914
MONDO_0006030,EFO_1000023
MONDO_0006701,EFO_1000867
MONDO_0004972,EFO_0000232
MONDO_0006702,EFO_1000868
MONDO_0005559,EFO_0005772
MONDO_0006699,EFO_1000865
MONDO_0005154,EFO_0001421
MONDO_0006700,EFO_1000866
MONDO_0024388,EFO_1000874
MONDO_0006708,EFO_1000875
MONDO_0006704,EFO_1000870
MONDO_0006712,EFO_1000879
MONDO_0005328,EFO_0003966
MONDO_0006709,EFO_1000876
MONDO_0006710,EFO_1000877
MONDO_0005384,EFO_0004263
MONDO_0006717,EFO_1000885
MONDO_0005509,EFO_0005561
MONDO_0005308,EFO_0003900
MONDO_0006716,EFO_1000883
MONDO_0005010,EFO_0001645
MONDO_0006714,EFO_1000881
MONDO_0004995,EFO_0000319
MONDO_0006713,EFO_1000880
MONDO_0006720,EFO_1000889
MONDO_0006718,EFO_1000887
MONDO_0005093,EFO_0000701
MONDO_0005976,EFO_0007504
MONDO_0009761,EFO_1000888
MONDO_0005294,EFO_0003875
MONDO_0012819,EFO_1000897
MONDO_0019373,EFO_1000895
MONDO_0006722,EFO_1000892
MONDO_0006999,EFO_1001216
MONDO_0006723,EFO_1000893
MONDO_0009072,EFO_1000890
MONDO_0006721,EFO_1000891
MONDO_0005381,EFO_0004260
MONDO_0006727,EFO_1000899
MONDO_0005009,EFO_0000373
MONDO_0004989,EFO_0000305
MONDO_0005401,EFO_0004288
MONDO_0011782,EFO_1000805
MONDO_0006645,EFO_1000803
MONDO_0006643,EFO_1000801
MONDO_0004994,EFO_0000318
MONDO_0006644,EFO_1000802
MONDO_0005155,EFO_0001422
MONDO_0006642,EFO_1000800
MONDO_0006649,EFO_1000809
MONDO_0006647,EFO_1000807
MONDO_0006648,EFO_1000808
MONDO_0006656,EFO_1000816
MONDO_0005561,EFO_0005775
MONDO_0006654,EFO_1000814
MONDO_0006655,EFO_1000815
MONDO_0005267,EFO_0003777
MONDO_0006652,EFO_1000812
MONDO_0006653,EFO_1000813
MONDO_0006650,EFO_1000810
MONDO_0007150,EFO_1000818
MONDO_0006658,EFO_1000819
MONDO_0006659,EFO_1000820
MONDO_0006666,EFO_1000827
MONDO_0020322,EFO_1000828
MONDO_0006664,EFO_1000825
MONDO_0006662,EFO_1000823
MONDO_0004796,EFO_0000584
MONDO_0006663,EFO_1000824
MONDO_0005087,EFO_0000684
MONDO_0006660,EFO_1000821
MONDO_0007004,EFO_1001222
MONDO_0006668,EFO_1000829
MONDO_0006170,EFO_1000203
MONDO_0006670,EFO_1000831
MONDO_0005140,EFO_0001075
MONDO_0006641,EFO_1000799
MONDO_0005283,EFO_0003839
MONDO_0005046,EFO_0000540
MONDO_0006779,EFO_1000959
MONDO_0006777,EFO_1000957
MONDO_0006858,EFO_1001047
MONDO_0006778,EFO_1000958
MONDO_0000889,EFO_1000955
MONDO_0018935,EFO_1000956
MONDO_0006773,EFO_1000953
MONDO_0006054,EFO_1000051
MONDO_0006782,EFO_1000962
MONDO_0006783,EFO_1000963
MONDO_0006781,EFO_1000961
MONDO_0006789,EFO_1000969
MONDO_0005570,EFO_0005803
MONDO_0006786,EFO_1000966
MONDO_0005385,EFO_0004264
MONDO_0006787,EFO_1000967
MONDO_0006784,EFO_1000964
MONDO_0005137,EFO_0001069
MONDO_0006793,EFO_1000973
MONDO_0005151,EFO_0001379
MONDO_0006794,EFO_1000974
MONDO_0006792,EFO_1000972
MONDO_0006790,EFO_1000970
MONDO_0006799,EFO_1000979
MONDO_0006797,EFO_1000977
MONDO_0006798,EFO_1000978
MONDO_0006796,EFO_1000976
MONDO_0005156,EFO_0001423
MONDO_0006804,EFO_1000984
MONDO_0004988,EFO_0000304
MONDO_0006805,EFO_1000985
MONDO_0006802,EFO_1000982
MONDO_0006803,EFO_1000983
MONDO_0006800,EFO_1000980
MONDO_0006801,EFO_1000981
MONDO_0006807,EFO_1000987
MONDO_0006813,EFO_1000995
MONDO_0006811,EFO_1000993
MONDO_0006812,EFO_1000994
MONDO_0006809,EFO_1000991
MONDO_0006810,EFO_1000992
MONDO_0005044,EFO_0000537
MONDO_0006808,EFO_1000990
MONDO_0005172,EFO_0002461
MONDO_0006815,EFO_1000998
